word	nodeType	synsetCount	unit	count
breathless	ADJ	3	jacobs-ladder-script	1
brief	ADJ	6	jacobs-ladder-script	2
bright	ADJ	11	jacobs-ladder-script	8
brighten	ADJ	2	jacobs-ladder-script	1
brilliant	ADJ	6	jacobs-ladder-script	5
brittle	ADJ	4	jacobs-ladder-script	1
buddhist	ADJ	2	jacobs-ladder-script	1
burst-	ADJ	0	jacobs-ladder-script	1
calm	ADJ	8	jacobs-ladder-script	1
capable	ADJ	5	jacobs-ladder-script	1
catacylsmic	ADJ	0	jacobs-ladder-script	1
celestial	ADJ	3	jacobs-ladder-script	2
certain	ADJ	7	jacobs-ladder-script	1
charred	ADJ	2	jacobs-ladder-script	1
chemical	ADJ	3	jacobs-ladder-script	1
chinese	ADJ	4	jacobs-ladder-script	1
clean	ADJ	31	jacobs-ladder-script	2
clear	ADJ	45	jacobs-ladder-script	2
clinical	ADJ	2	jacobs-ladder-script	1
close	ADJ	37	jacobs-ladder-script	6
closed	ADJ	26	jacobs-ladder-script	5
cloud	ADJ	14	jacobs-ladder-script	1
cluttered	ADJ	2	jacobs-ladder-script	1
cold	ADJ	16	jacobs-ladder-script	9
colored	ADJ	11	jacobs-ladder-script	1
comfortable	ADJ	5	jacobs-ladder-script	6
comforting	ADJ	4	jacobs-ladder-script	2
compassionate	ADJ	2	jacobs-ladder-script	2
compelling	ADJ	4	jacobs-ladder-script	2
concerned	ADJ	5	jacobs-ladder-script	2
confused	ADJ	10	jacobs-ladder-script	9
conscious	ADJ	3	jacobs-ladder-script	2
constant	ADJ	5	jacobs-ladder-script	1
consummate	ADJ	5	jacobs-ladder-script	2
continental	ADJ	4	jacobs-ladder-script	2
contradictory	ADJ	5	jacobs-ladder-script	2
convenient	ADJ	2	jacobs-ladder-script	1
convulsive	ADJ	2	jacobs-ladder-script	1
cool	ADJ	11	jacobs-ladder-script	1
corrupt	ADJ	8	jacobs-ladder-script	2
countless	ADJ	1	jacobs-ladder-script	1
cozy	ADJ	4	jacobs-ladder-script	2
crazy	ADJ	6	jacobs-ladder-script	9
crowded	ADJ	5	jacobs-ladder-script	3
crushed	ADJ	10	jacobs-ladder-script	1
curious	ADJ	3	jacobs-ladder-script	3
cute	ADJ	2	jacobs-ladder-script	1
dark	ADJ	16	jacobs-ladder-script	34
dawn	ADJ	6	jacobs-ladder-script	1
dazzling	ADJ	4	jacobs-ladder-script	3
dead	ADJ	21	jacobs-ladder-script	17
deep	ADJ	21	jacobs-ladder-script	2
defeatist	ADJ	1	jacobs-ladder-script	1
defiant	ADJ	1	jacobs-ladder-script	3
deliberate	ADJ	4	jacobs-ladder-script	1
delicate	ADJ	7	jacobs-ladder-script	2
delirious	ADJ	2	jacobs-ladder-script	3
demonic	ADJ	1	jacobs-ladder-script	5
dense	ADJ	4	jacobs-ladder-script	3
deserted	ADJ	4	jacobs-ladder-script	2
desperate	ADJ	7	jacobs-ladder-script	2
devastating	ADJ	5	jacobs-ladder-script	3
different	ADJ	5	jacobs-ladder-script	2
difficult	ADJ	2	jacobs-ladder-script	1
dimensional	ADJ	2	jacobs-ladder-script	4
dingy	ADJ	3	jacobs-ladder-script	2
direct	ADJ	24	jacobs-ladder-script	1
disgust	ADJ	3	jacobs-ladder-script	1
disgusted	ADJ	3	jacobs-ladder-script	1
disheveled	ADJ	2	jacobs-ladder-script	1
disinterested	ADJ	1	jacobs-ladder-script	1
distant	ADJ	5	jacobs-ladder-script	2
distorted	ADJ	7	jacobs-ladder-script	1
distracted	ADJ	3	jacobs-ladder-script	1
disturbed	ADJ	9	jacobs-ladder-script	1
doc-	ADJ	0	jacobs-ladder-script	1
domineering	ADJ	2	jacobs-ladder-script	1
dorsal	ADJ	2	jacobs-ladder-script	1
double	ADJ	21	jacobs-ladder-script	2
down	ADJ	26	jacobs-ladder-script	1
downward	ADJ	3	jacobs-ladder-script	1
drugged	ADJ	3	jacobs-ladder-script	1
dumbfounded	ADJ	2	jacobs-ladder-script	1
early	ADJ	9	jacobs-ladder-script	4
easy	ADJ	15	jacobs-ladder-script	1
ecstatic	ADJ	1	jacobs-ladder-script	2
eerie	ADJ	2	jacobs-ladder-script	1
effective	ADJ	6	jacobs-ladder-script	1
electrical	ADJ	2	jacobs-ladder-script	1
elusive	ADJ	4	jacobs-ladder-script	1
embarrassed	ADJ	4	jacobs-ladder-script	2
empirical	ADJ	2	jacobs-ladder-script	1
empty	ADJ	10	jacobs-ladder-script	5
endless	ADJ	4	jacobs-ladder-script	3
enormous	ADJ	1	jacobs-ladder-script	2
enough	ADJ	3	jacobs-ladder-script	1
enternal	ADJ	0	jacobs-ladder-script	1
entire	ADJ	5	jacobs-ladder-script	6
erotic	ADJ	2	jacobs-ladder-script	2
eternal	ADJ	2	jacobs-ladder-script	1
ethereal	ADJ	4	jacobs-ladder-script	1
excited	ADJ	12	jacobs-ladder-script	2
exciting	ADJ	10	jacobs-ladder-script	2
excruciating	ADJ	3	jacobs-ladder-script	1
exhilarating	ADJ	3	jacobs-ladder-script	2
exotic	ADJ	2	jacobs-ladder-script	1
extra	ADJ	7	jacobs-ladder-script	1
extraordinary	ADJ	3	jacobs-ladder-script	1
eyed	ADJ	2	jacobs-ladder-script	1
faced	ADJ	10	jacobs-ladder-script	1
faint	ADJ	8	jacobs-ladder-script	1
fake	ADJ	8	jacobs-ladder-script	1
false	ADJ	11	jacobs-ladder-script	1
familiar	ADJ	7	jacobs-ladder-script	5
fantastic	ADJ	5	jacobs-ladder-script	2
far	ADJ	10	jacobs-ladder-script	2
fast	ADJ	15	jacobs-ladder-script	3
fatherly	ADJ	1	jacobs-ladder-script	1
fearful	ADJ	5	jacobs-ladder-script	2
featureless	ADJ	1	jacobs-ladder-script	1
fetal	ADJ	1	jacobs-ladder-script	1
few	ADJ	2	jacobs-ladder-script	10
fierce	ADJ	4	jacobs-ladder-script	1
fiery	ADJ	3	jacobs-ladder-script	4
fightin	ADJ	0	jacobs-ladder-script	1
final	ADJ	5	jacobs-ladder-script	4
fine	ADJ	10	jacobs-ladder-script	2
firm	ADJ	14	jacobs-ladder-script	1
first	ADJ	16	jacobs-ladder-script	12
fit	ADJ	16	jacobs-ladder-script	1
fitting	ADJ	15	jacobs-ladder-script	1
fixated	ADJ	4	jacobs-ladder-script	1
flat	ADJ	24	jacobs-ladder-script	2
fleshy	ADJ	2	jacobs-ladder-script	2
fluorescent	ADJ	3	jacobs-ladder-script	1
foolish	ADJ	2	jacobs-ladder-script	2
forward	ADJ	12	jacobs-ladder-script	1
frayed	ADJ	3	jacobs-ladder-script	2
french	ADJ	5	jacobs-ladder-script	1
frenzied	ADJ	2	jacobs-ladder-script	2
fresh	ADJ	13	jacobs-ladder-script	4
friendly	ADJ	5	jacobs-ladder-script	1
frightened	ADJ	4	jacobs-ladder-script	12
frightening	ADJ	4	jacobs-ladder-script	4
front	ADJ	13	jacobs-ladder-script	3
frozen	ADJ	17	jacobs-ladder-script	2
fuckin	ADJ	0	jacobs-ladder-script	2
fucking	ADJ	4	jacobs-ladder-script	8
full	ADJ	13	jacobs-ladder-script	11
fundamental	ADJ	5	jacobs-ladder-script	1
funny	ADJ	5	jacobs-ladder-script	4
furious	ADJ	3	jacobs-ladder-script	3
garish	ADJ	1	jacobs-ladder-script	1
gay	ADJ	7	jacobs-ladder-script	1
gelatinous	ADJ	1	jacobs-ladder-script	1
generous	ADJ	3	jacobs-ladder-script	1
gentle	ADJ	10	jacobs-ladder-script	2
gettin	ADJ	0	jacobs-ladder-script	5
giant	ADJ	8	jacobs-ladder-script	2
gigantic	ADJ	1	jacobs-ladder-script	1
glad	ADJ	5	jacobs-ladder-script	4
glimmer	ADJ	3	jacobs-ladder-script	1
glorious	ADJ	3	jacobs-ladder-script	2
goddamn	ADJ	3	jacobs-ladder-script	5
golden	ADJ	6	jacobs-ladder-script	1
good	ADJ	27	jacobs-ladder-script	18
grand	ADJ	10	jacobs-ladder-script	2
grateful	ADJ	2	jacobs-ladder-script	1
gray	ADJ	15	jacobs-ladder-script	4
great	ADJ	7	jacobs-ladder-script	10
green	ADJ	14	jacobs-ladder-script	4
guilty	ADJ	2	jacobs-ladder-script	1
hallucinogenic	ADJ	1	jacobs-ladder-script	2
happenin	ADJ	0	jacobs-ladder-script	1
happy	ADJ	4	jacobs-ladder-script	5
hard	ADJ	22	jacobs-ladder-script	8
headless	ADJ	2	jacobs-ladder-script	1
healthy	ADJ	5	jacobs-ladder-script	4
heavy	ADJ	30	jacobs-ladder-script	7
heavyset	ADJ	1	jacobs-ladder-script	1
hellish	ADJ	2	jacobs-ladder-script	1
hemorrhoid	ADJ	1	jacobs-ladder-script	1
hideous	ADJ	2	jacobs-ladder-script	1
high	ADJ	18	jacobs-ladder-script	9
hippie	ADJ	1	jacobs-ladder-script	1
hooved	ADJ	1	jacobs-ladder-script	2
horizontal	ADJ	2	jacobs-ladder-script	1
horny	ADJ	3	jacobs-ladder-script	1
horrible	ADJ	1	jacobs-ladder-script	4
horrifying	ADJ	2	jacobs-ladder-script	1
hot	ADJ	21	jacobs-ladder-script	5
huge	ADJ	1	jacobs-ladder-script	26
human	ADJ	4	jacobs-ladder-script	11
hypnotic	ADJ	3	jacobs-ladder-script	2
hysterical	ADJ	2	jacobs-ladder-script	1
icy	ADJ	4	jacobs-ladder-script	2
idyllic	ADJ	2	jacobs-ladder-script	2
imaginative	ADJ	1	jacobs-ladder-script	1
immediate	ADJ	5	jacobs-ladder-script	1
impenetrable	ADJ	3	jacobs-ladder-script	1
impersonal	ADJ	2	jacobs-ladder-script	1
important	ADJ	5	jacobs-ladder-script	1
imposing	ADJ	5	jacobs-ladder-script	2
impossible	ADJ	4	jacobs-ladder-script	5
individual	ADJ	6	jacobs-ladder-script	1
industrial	ADJ	4	jacobs-ladder-script	1
inevitable	ADJ	3	jacobs-ladder-script	1
inexpensive	ADJ	1	jacobs-ladder-script	1
infinite	ADJ	5	jacobs-ladder-script	3
ing	ADJ	0	jacobs-ladder-script	2
inner	ADJ	6	jacobs-ladder-script	5
innocent	ADJ	8	jacobs-ladder-script	2
insensitive	ADJ	2	jacobs-ladder-script	1
insistent	ADJ	2	jacobs-ladder-script	5
instant	ADJ	5	jacobs-ladder-script	1
intact	ADJ	4	jacobs-ladder-script	1
intense	ADJ	3	jacobs-ladder-script	6
interested	ADJ	5	jacobs-ladder-script	1
interior	ADJ	8	jacobs-ladder-script	1
intimate	ADJ	9	jacobs-ladder-script	2
intricate	ADJ	1	jacobs-ladder-script	1
joyous	ADJ	1	jacobs-ladder-script	1
jubilant	ADJ	2	jacobs-ladder-script	1
judgemental	ADJ	0	jacobs-ladder-script	1
juicy	ADJ	4	jacobs-ladder-script	1
kind	ADJ	4	jacobs-ladder-script	1
large	ADJ	11	jacobs-ladder-script	12
last	ADJ	21	jacobs-ladder-script	9
late	ADJ	11	jacobs-ladder-script	5
lazy	ADJ	2	jacobs-ladder-script	1
least	ADJ	3	jacobs-ladder-script	3
left	ADJ	24	jacobs-ladder-script	3
lifeless	ADJ	4	jacobs-ladder-script	1
light	ADJ	47	jacobs-ladder-script	9
like	ADJ	11	jacobs-ladder-script	6
liquid	ADJ	11	jacobs-ladder-script	1
literary	ADJ	3	jacobs-ladder-script	1
little	ADJ	10	jacobs-ladder-script	12
live	ADJ	19	jacobs-ladder-script	1
lively	ADJ	6	jacobs-ladder-script	1
local	ADJ	5	jacobs-ladder-script	1
lone	ADJ	3	jacobs-ladder-script	1
lonely	ADJ	4	jacobs-ladder-script	1
long	ADJ	12	jacobs-ladder-script	22
lookin	ADJ	0	jacobs-ladder-script	1
loose	ADJ	18	jacobs-ladder-script	3
loud	ADJ	4	jacobs-ladder-script	6
lovely	ADJ	3	jacobs-ladder-script	3
low	ADJ	16	jacobs-ladder-script	7
lucky	ADJ	3	jacobs-ladder-script	7
ludicrous	ADJ	2	jacobs-ladder-script	1
lunar	ADJ	1	jacobs-ladder-script	1
maddening	ADJ	4	jacobs-ladder-script	1
magical	ADJ	1	jacobs-ladder-script	1
main	ADJ	5	jacobs-ladder-script	4
majestic	ADJ	3	jacobs-ladder-script	2
many	ADJ	1	jacobs-ladder-script	13
marked	ADJ	18	jacobs-ladder-script	1
married	ADJ	5	jacobs-ladder-script	3
massive	ADJ	4	jacobs-ladder-script	3
menacing	ADJ	4	jacobs-ladder-script	1
mental	ADJ	5	jacobs-ladder-script	1
messed	ADJ	2	jacobs-ladder-script	1
metallic	ADJ	3	jacobs-ladder-script	1
mid-	ADJ	0	jacobs-ladder-script	1
military	ADJ	4	jacobs-ladder-script	1
minf	ADJ	0	jacobs-ladder-script	1
miraculous	ADJ	2	jacobs-ladder-script	1
mobile	ADJ	8	jacobs-ladder-script	1
modern	ADJ	7	jacobs-ladder-script	1
momentary	ADJ	1	jacobs-ladder-script	1
monolithic	ADJ	2	jacobs-ladder-script	1
more	ADJ	5	jacobs-ladder-script	15
motionless	ADJ	1	jacobs-ladder-script	6
mournful	ADJ	2	jacobs-ladder-script	2
much	ADJ	7	jacobs-ladder-script	6
muffled	ADJ	4	jacobs-ladder-script	2
muscular	ADJ	4	jacobs-ladder-script	1
musical	ADJ	5	jacobs-ladder-script	2
mythic	ADJ	2	jacobs-ladder-script	2
naked	ADJ	5	jacobs-ladder-script	6
narrow	ADJ	10	jacobs-ladder-script	1
national	ADJ	8	jacobs-ladder-script	1
near	ADJ	9	jacobs-ladder-script	1
nearby	ADJ	2	jacobs-ladder-script	1
nervous	ADJ	5	jacobs-ladder-script	4
new	ADJ	12	jacobs-ladder-script	16
newborn	ADJ	3	jacobs-ladder-script	1
next	ADJ	4	jacobs-ladder-script	12
nice	ADJ	6	jacobs-ladder-script	1
ninny	ADJ	1	jacobs-ladder-script	1
normal	ADJ	5	jacobs-ladder-script	4
nude	ADJ	5	jacobs-ladder-script	1
obscure	ADJ	11	jacobs-ladder-script	2
obsessive	ADJ	2	jacobs-ladder-script	1
obvious	ADJ	1	jacobs-ladder-script	4
occasional	ADJ	4	jacobs-ladder-script	2
odd	ADJ	6	jacobs-ladder-script	1
offensive	ADJ	8	jacobs-ladder-script	3
officious	ADJ	1	jacobs-ladder-script	1
oily	ADJ	4	jacobs-ladder-script	2
okay	ADJ	4	jacobs-ladder-script	16
old	ADJ	9	jacobs-ladder-script	17
oncoming	ADJ	2	jacobs-ladder-script	1
only	ADJ	9	jacobs-ladder-script	11
oozing	ADJ	4	jacobs-ladder-script	1
open	ADJ	36	jacobs-ladder-script	21
orange	ADJ	6	jacobs-ladder-script	1
organic	ADJ	7	jacobs-ladder-script	1
orgiastic	ADJ	2	jacobs-ladder-script	1
original	ADJ	6	jacobs-ladder-script	1
orthodontist	ADJ	1	jacobs-ladder-script	1
orthopedic	ADJ	1	jacobs-ladder-script	1
other	ADJ	4	jacobs-ladder-script	45
out	ADJ	17	jacobs-ladder-script	1
out-	ADJ	0	jacobs-ladder-script	1
overgrown	ADJ	5	jacobs-ladder-script	1
overhead	ADJ	9	jacobs-ladder-script	3
own	ADJ	2	jacobs-ladder-script	23
painful	ADJ	4	jacobs-ladder-script	2
pale	ADJ	7	jacobs-ladder-script	1
paranoid	ADJ	2	jacobs-ladder-script	1
parked	ADJ	3	jacobs-ladder-script	1
particular	ADJ	9	jacobs-ladder-script	2
pastel	ADJ	3	jacobs-ladder-script	1
pathetic	ADJ	3	jacobs-ladder-script	1
pathological	ADJ	3	jacobs-ladder-script	1
perverse	ADJ	3	jacobs-ladder-script	2
phenomenal	ADJ	2	jacobs-ladder-script	1
physical	ADJ	7	jacobs-ladder-script	2
pink	ADJ	7	jacobs-ladder-script	1
pitched	ADJ	14	jacobs-ladder-script	1
pitiful	ADJ	3	jacobs-ladder-script	1
plastic	ADJ	5	jacobs-ladder-script	4
playful	ADJ	1	jacobs-ladder-script	1
pleasant	ADJ	2	jacobs-ladder-script	1
pleased	ADJ	5	jacobs-ladder-script	1
plod	ADJ	2	jacobs-ladder-script	1
plush	ADJ	2	jacobs-ladder-script	1
pointed	ADJ	16	jacobs-ladder-script	1
positive	ADJ	13	jacobs-ladder-script	1
possible	ADJ	4	jacobs-ladder-script	1
postal	ADJ	1	jacobs-ladder-script	5
potential	ADJ	4	jacobs-ladder-script	1
powerful	ADJ	6	jacobs-ladder-script	9
practical	ADJ	4	jacobs-ladder-script	1
pre	ADJ	0	jacobs-ladder-script	1
precise	ADJ	2	jacobs-ladder-script	1
pregnant	ADJ	3	jacobs-ladder-script	1
preternatural	ADJ	2	jacobs-ladder-script	1
primal	ADJ	2	jacobs-ladder-script	2
primordial	ADJ	1	jacobs-ladder-script	1
private	ADJ	5	jacobs-ladder-script	1
psychiatric	ADJ	1	jacobs-ladder-script	1
psychological	ADJ	2	jacobs-ladder-script	1
puffy	ADJ	3	jacobs-ladder-script	2
punish-	ADJ	0	jacobs-ladder-script	1
pure	ADJ	7	jacobs-ladder-script	2
quick	ADJ	8	jacobs-ladder-script	2
quiet	ADJ	13	jacobs-ladder-script	7
radiant	ADJ	1	jacobs-ladder-script	4
rainy	ADJ	1	jacobs-ladder-script	1
random	ADJ	1	jacobs-ladder-script	1
rapid	ADJ	3	jacobs-ladder-script	2
rapt	ADJ	1	jacobs-ladder-script	1
raw	ADJ	14	jacobs-ladder-script	2
ready	ADJ	8	jacobs-ladder-script	4
real	ADJ	13	jacobs-ladder-script	11
rear	ADJ	11	jacobs-ladder-script	4
reasonable	ADJ	3	jacobs-ladder-script	3
reception	ADJ	5	jacobs-ladder-script	1
recognizable	ADJ	2	jacobs-ladder-script	1
red	ADJ	7	jacobs-ladder-script	9
reddish	ADJ	1	jacobs-ladder-script	2
reflective	ADJ	3	jacobs-ladder-script	1
regular	ADJ	17	jacobs-ladder-script	1
remarkable	ADJ	2	jacobs-ladder-script	2
reptilian	ADJ	2	jacobs-ladder-script	1
restless	ADJ	3	jacobs-ladder-script	1
rican	ADJ	0	jacobs-ladder-script	1
ridiculous	ADJ	3	jacobs-ladder-script	1
right	ADJ	36	jacobs-ladder-script	30
rocky	ADJ	4	jacobs-ladder-script	2
romantic	ADJ	5	jacobs-ladder-script	2
rough	ADJ	18	jacobs-ladder-script	1
rusty	ADJ	4	jacobs-ladder-script	1
sad	ADJ	3	jacobs-ladder-script	1
safe	ADJ	7	jacobs-ladder-script	2
same	ADJ	6	jacobs-ladder-script	11
satisfied	ADJ	5	jacobs-ladder-script	1
scared	ADJ	4	jacobs-ladder-script	4
sdiren	ADJ	0	jacobs-ladder-script	1
second	ADJ	15	jacobs-ladder-script	2
secret	ADJ	14	jacobs-ladder-script	2
secure	ADJ	11	jacobs-ladder-script	1
semi	ADJ	3	jacobs-ladder-script	1
sensual	ADJ	2	jacobs-ladder-script	4
separate	ADJ	19	jacobs-ladder-script	1
serene	ADJ	2	jacobs-ladder-script	1
serious	ADJ	6	jacobs-ladder-script	2
several	ADJ	3	jacobs-ladder-script	15
sexual	ADJ	3	jacobs-ladder-script	1
sexy	ADJ	2	jacobs-ladder-script	1
shadowy	ADJ	3	jacobs-ladder-script	1
shallow	ADJ	6	jacobs-ladder-script	2
sharp	ADJ	15	jacobs-ladder-script	4
shimmering	ADJ	2	jacobs-ladder-script	2
shocked	ADJ	8	jacobs-ladder-script	3
shocking	ADJ	9	jacobs-ladder-script	3
short	ADJ	23	jacobs-ladder-script	4
sick	ADJ	9	jacobs-ladder-script	2
significant	ADJ	4	jacobs-ladder-script	1
silent	ADJ	6	jacobs-ladder-script	1
simple	ADJ	9	jacobs-ladder-script	4
sincere	ADJ	2	jacobs-ladder-script	2
sleazy	ADJ	3	jacobs-ladder-script	1
sleepy	ADJ	1	jacobs-ladder-script	2
slight	ADJ	5	jacobs-ladder-script	1
slimy	ADJ	2	jacobs-ladder-script	1
slipped	ADJ	11	jacobs-ladder-script	1
small	ADJ	13	jacobs-ladder-script	10
smokey	ADJ	0	jacobs-ladder-script	1
smoky	ADJ	2	jacobs-ladder-script	1
smooth	ADJ	12	jacobs-ladder-script	2
smug	ADJ	1	jacobs-ladder-script	1
social	ADJ	7	jacobs-ladder-script	2
soft	ADJ	20	jacobs-ladder-script	2
solid	ADJ	18	jacobs-ladder-script	4
somber	ADJ	2	jacobs-ladder-script	2
soporific	ADJ	3	jacobs-ladder-script	1
sorry	ADJ	4	jacobs-ladder-script	9
sparkle	ADJ	7	jacobs-ladder-script	1
sparkling	ADJ	7	jacobs-ladder-script	2
spastic	ADJ	4	jacobs-ladder-script	3
special	ADJ	10	jacobs-ladder-script	1
specific	ADJ	6	jacobs-ladder-script	1
spectacular	ADJ	4	jacobs-ladder-script	2
spiked	ADJ	7	jacobs-ladder-script	2
spindly	ADJ	1	jacobs-ladder-script	1
spine	ADJ	5	jacobs-ladder-script	2
spiritual	ADJ	5	jacobs-ladder-script	1
spontaneous	ADJ	2	jacobs-ladder-script	1
stark	ADJ	6	jacobs-ladder-script	1
starry	ADJ	1	jacobs-ladder-script	2
startled	ADJ	3	jacobs-ladder-script	3
stepping	ADJ	10	jacobs-ladder-script	1
sterile	ADJ	3	jacobs-ladder-script	1
stern	ADJ	7	jacobs-ladder-script	1
strange	ADJ	3	jacobs-ladder-script	23
stroboscopic	ADJ	0	jacobs-ladder-script	1
strong	ADJ	10	jacobs-ladder-script	4
stunned	ADJ	6	jacobs-ladder-script	4
stunning	ADJ	7	jacobs-ladder-script	2
sub-	ADJ	0	jacobs-ladder-script	1
subtle	ADJ	3	jacobs-ladder-script	2
such	ADJ	2	jacobs-ladder-script	9
sudden	ADJ	1	jacobs-ladder-script	14
sunlit	ADJ	1	jacobs-ladder-script	1
superhuman	ADJ	1	jacobs-ladder-script	1
superior	ADJ	13	jacobs-ladder-script	1
sure	ADJ	10	jacobs-ladder-script	8
surgical	ADJ	3	jacobs-ladder-script	4
surprised	ADJ	4	jacobs-ladder-script	17
surprising	ADJ	4	jacobs-ladder-script	3
sweet	ADJ	16	jacobs-ladder-script	2
talkin	ADJ	0	jacobs-ladder-script	1
tall	ADJ	5	jacobs-ladder-script	2
tangible	ADJ	4	jacobs-ladder-script	1
tawdry	ADJ	2	jacobs-ladder-script	1
tender	ADJ	18	jacobs-ladder-script	1
tense	ADJ	8	jacobs-ladder-script	3
terrible	ADJ	4	jacobs-ladder-script	11
terrific	ADJ	3	jacobs-ladder-script	3
terrified	ADJ	2	jacobs-ladder-script	3
terrifying	ADJ	2	jacobs-ladder-script	5
thick	ADJ	13	jacobs-ladder-script	3
thin	ADJ	13	jacobs-ladder-script	1
thinkin	ADJ	0	jacobs-ladder-script	1
threatening	ADJ	5	jacobs-ladder-script	2
three-	ADJ	0	jacobs-ladder-script	1
thrilling	ADJ	6	jacobs-ladder-script	1
tiny	ADJ	1	jacobs-ladder-script	7
tired	ADJ	6	jacobs-ladder-script	3
tnought	ADJ	0	jacobs-ladder-script	1
top	ADJ	22	jacobs-ladder-script	1
tortured	ADJ	3	jacobs-ladder-script	1
total	ADJ	7	jacobs-ladder-script	10
traditional	ADJ	2	jacobs-ladder-script	1
transcendental	ADJ	2	jacobs-ladder-script	2
transfigured	ADJ	2	jacobs-ladder-script	3
translucent	ADJ	1	jacobs-ladder-script	1
transmuted	ADJ	3	jacobs-ladder-script	1
true	ADJ	15	jacobs-ladder-script	1
tryin	ADJ	0	jacobs-ladder-script	2
ugly	ADJ	4	jacobs-ladder-script	1
ultimate	ADJ	3	jacobs-ladder-script	1
unable	ADJ	3	jacobs-ladder-script	3
unadulterated	ADJ	2	jacobs-ladder-script	1
unbelievable	ADJ	2	jacobs-ladder-script	1
uncomfortable	ADJ	2	jacobs-ladder-script	8
unconscious	ADJ	4	jacobs-ladder-script	1
unconvincing	ADJ	2	jacobs-ladder-script	1
undefinable	ADJ	1	jacobs-ladder-script	1
unearthly	ADJ	2	jacobs-ladder-script	3
uneasy	ADJ	5	jacobs-ladder-script	1
unexpected	ADJ	1	jacobs-ladder-script	3
unfamiliar	ADJ	1	jacobs-ladder-script	1
unfocused	ADJ	2	jacobs-ladder-script	1
ungrateful	ADJ	2	jacobs-ladder-script	1
unhappy	ADJ	4	jacobs-ladder-script	1
unknown	ADJ	8	jacobs-ladder-script	1
unmade	ADJ	2	jacobs-ladder-script	1
unnatural	ADJ	3	jacobs-ladder-script	1
unpaved	ADJ	1	jacobs-ladder-script	1
unrecognizable	ADJ	1	jacobs-ladder-script	1
unrelenting	ADJ	3	jacobs-ladder-script	2
unrelieved	ADJ	1	jacobs-ladder-script	2
unseen	ADJ	2	jacobs-ladder-script	2
unsettling	ADJ	1	jacobs-ladder-script	1
unshaven	ADJ	1	jacobs-ladder-script	2
unspeakable	ADJ	3	jacobs-ladder-script	1
unstoppable	ADJ	1	jacobs-ladder-script	1
unsuccessful	ADJ	2	jacobs-ladder-script	1
